"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USC00450872","BREMERTON, WA US","2000-04-26","0.13","0.0",,"51","38",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-27","0.00","0.0",,"64","46",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-28","0.12","0.0",,"57","42",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-29","0.16","0.0",,"54","38",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-30","0.02","0.0",,"59","44",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-01","0.00","0.0",,"61","47",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-02","0.00","0.0",,"70","46",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-03","0.00","0.0",,"68","45",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-04","0.00","0.0",,"81","54",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-05","0.00","0.0",,"87","55",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-06","0.15","0.0",,"68","53",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-07","0.34","0.0",,"61","51",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-08","0.09","0.0",,"60","51",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-09","0.08","0.0",,"63","46",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-10","0.03","0.0",,"61","47",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-11","0.14","0.0",,"58","47",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-12","1.96","0.0",,"57","50",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-13","0.03","0.0",,"67","50",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-14","0.00","0.0",,"68","55",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-15","0.00","0.0",,"67","52",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-16","0.00","0.0",,"67","47",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-17","0.00","0.0",,"75","49",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-18","0.00","0.0",,"82","47",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-19","0.00","0.0",,"65","48",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-20","0.00","0.0",,"66","48",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-21","0.00","0.0",,"75","56",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-22","0.00","0.0",,"71","53",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-23","0.00","0.0",,"71","49",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-24","0.00","0.0",,"71","51",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-25","0.00","0.0",,"71","49",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-26","0.00","0.0",,"81","51",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-27","0.00","0.0",,"85","55",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-28","0.00","0.0",,"90","58",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-29","0.00","0.0",,"90","54",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-06-30","0.00","0.0",,"73","55",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-07-01","0.03","0.0",,"65","53",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-07-02","0.00","0.0",,"62","52",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-07-03","0.19","0.0",,"64","51",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-07-04","0.32","0.0",,"66","52",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-07-05","0.00","0.0",,"73","48",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-07-06","0.03","0.0",,"73","54",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-07-07","0.00","0.0",,"73","50",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-07-08","0.00","0.0",,"78","54",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-07-09","0.01","0.0",,"69","55",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-07-10","0.00","0.0",,"68","52",,,,,,,,,,,,,,,,,,,,,,
